linkid,Average_Daily_SeniorPopulation_Travelling,IDRoute
80216810,20311.655812000005,"[8.0, 85.0, 8.0, 85.0, 8.0, 85.0, 8.0, 85.0]"
80216812,784.8180420000001,"[6.0, 33.0, 52.0]"
80216824,408.10538099999997,"[9.0, 46.0, 82.0]"
80216828,801.587858,"[nan, nan]"
80216829,1190.5873139999999,"[nan, nan, nan]"
80216835,1324.063097,"[nan, nan]"
80216926,865.67696,"[nan, nan, nan, nan]"
80217199,56959.19648999996,"[5.0, 36.0, 59.0, 63.0, 69.0, 72.0, 5.0, 36.0, 59.0, 63.0, 69.0, 72.0, 5.0, 36.0, 59.0, 63.0, 69.0, 72.0, 5.0, 36.0, 59.0, 63.0, 69.0, 72.0, 5.0, 36.0, 59.0, 63.0, 69.0, 72.0, 5.0, 36.0, 59.0, 63.0, 69.0, 72.0]"
80218154,1266.979185,"[4.0, 63.0, 64.0, 4.0, 63.0, 64.0]"
80218773,1088.281016,"[8.0, 12.0, 28.0, 30.0, 43.0, 58.0, 70.0, 83.0]"
80221349,634.830593,[nan]
80222827,88.905485,[nan]
80222842,445.58786,"[nan, nan, nan, nan]"
80228605,9010.170998,"[44.0, 44.0]"
80228606,5713.4753359999995,"[nan, nan]"
80228609,408.105381,[nan]
80228612,730.213941,"[nan, nan, nan]"
80228613,233.203075,[nan]
80231987,2074.983713,"[nan, nan, nan, nan, nan, nan]"
80248689,303.620329,[nan]
80248701,303.620329,[nan]
80248703,303.620329,[nan]
80252178,303.620329,[nan]
80252190,5465.165919,[nan]
80253277,1821.721973,[nan]
80258586,396.44522700000005,"[nan, nan]"
80260867,204.052691,[nan]
80260868,204.052691,[nan]
80261204,96.024796,[nan]
80261598,115.57713,[nan]
80261600,115.57713,[nan]
80261611,231.15426,[nan]
80261612,231.15426,[nan]
80261657,784.273382,[nan]
80261674,639.80197,[nan]
80261775,474.691784,[nan]
80261909,639.80197,[nan]
80261930,639.80197,[nan]
80262058,231.15426,[nan]
80263424,2054.6302180000002,"[nan, nan, nan, nan, nan, nan]"
80263426,163.242152,[nan]
80263458,1698.61393,"[nan, nan, nan, nan, nan, nan, nan, nan]"
80263659,411.40624600000007,"[12.0, 30.0, 12.0, 30.0]"
80263664,335.02227899999997,"[nan, nan]"
80263669,382.97048600000005,"[12.0, 12.0]"
80263670,816.210762,"[12.0, 30.0]"
80263691,2430.329008,"[12.0, 30.0, 12.0, 30.0]"
80263709,190.682186,"[nan, nan]"
80263738,474.49427,"[12.0, 30.0]"
80263749,205.470453,[nan]
80263751,176.170005,"[nan, nan]"
80263753,751.8098610000001,"[12.0, 12.0]"
80263754,428.037924,"[nan, nan]"
80263755,600.869083,[12.0]
80263764,144.471413,[nan]
80263766,1559.788864,"[nan, nan, nan, nan]"
80263768,1860.969427,"[nan, nan, nan]"
80263769,96.314275,[nan]
