,linkid,x,y
0,537277300,3888,2929
1,537277673,1944,1464
2,537277754,3888,2928
3,537277777,0,0
4,537277795,3888,2928
5,537277954,7776,5857
6,537277980,7776,5857
7,537278408,3888,2928
8,537278623,3888,2928
9,537278860,3888,2928
10,537279035,3888,2928
11,537282528,3888,2929
12,537283957,3888,2928
13,537284163,3888,2928
14,537284189,7776,5857
15,537284196,1944,1464
16,537284197,1944,1464
17,593892423,3888,2928
18,721545568,3888,2928
19,721545569,3888,2928
20,743590957,1944,1464
21,746670115,3888,2928
22,746823975,1944,1464
23,799427718,3888,2928
24,799481022,3888,2928
25,799481023,3888,2928
26,799481035,3888,2928
27,799481036,3888,2928
28,799484937,3888,2928
29,802182683,3888,2928
30,802182863,3888,2928
31,811304937,3888,2928
32,811304938,3888,2928
33,811398831,3888,2928
34,811401336,3888,2928
35,811401337,3888,2928
36,811401512,3888,2928
37,811463684,3888,2928
38,811463685,3888,2928
39,811463686,3888,2928
40,811463687,3888,2928
41,811469801,3888,2928
42,811471524,3888,2928
43,811471525,3888,2928
44,811471526,3888,2928
45,811477414,3888,2928
46,811477415,3888,2928
47,811480959,3888,2928
48,811639528,3888,2928
49,811639529,3888,2928
50,811639530,3888,2928
51,811639531,3888,2928
52,811639532,3888,2928
53,811954394,3888,2929
54,811954396,3888,2929
55,811957840,3888,2929
56,811959963,1944,1464
57,811959965,1944,1464
58,812132634,3888,2928
59,812133152,1944,1464
60,812133153,1944,1464
61,812144373,3888,2928
62,812144374,3888,2928
63,812144375,3888,2928
64,812224197,3888,2928
65,851526642,1944,1464
66,851526643,1944,1464
67,851527838,1944,1464
68,851543355,3888,2928
69,851551847,3888,2928
70,851551848,3888,2928
71,901324161,3888,2928
72,901324163,3888,2928
73,901324165,3888,2928
74,901324170,3888,2928
75,901326578,3888,2929
76,901326581,3888,2928
77,901326583,3888,2928
78,901326584,3888,2928
79,901326585,3888,2928
80,1101648083,3888,2929
81,1160927171,3888,2929
82,1160927529,3888,2929
83,1160928185,3888,2928
84,1202388190,3888,2928
85,1202388203,1944,1464
86,1202388243,7776,5857
87,1202388244,7776,5857
88,1202673585,3888,2928
89,1223142710,3888,2929
90,1246604405,3888,2928
91,537279154,3888,2928
92,537279193,1944,1464
93,537279247,3888,2928
94,537280111,7774,5857
95,537280113,7774,5857
96,537280116,7774,5857
97,537280141,7774,5857
98,537280222,7774,5857
99,537280237,7774,5857
100,537280258,1943,1464
101,537280259,7774,5857
102,537280326,3887,2928
103,537280855,3886,2928
104,537280867,3886,2928
105,537280873,1943,1464
106,537280877,3886,2928
107,537280886,3886,2928
108,537280892,3886,2928
109,537280977,3886,2928
110,537281022,3886,2928
111,537282156,3886,2928
112,537283646,1943,1464
113,537283652,1943,1464
114,537283657,1943,1464
115,537283711,7776,5857
116,537283712,7776,5857
117,537283750,7776,5857
118,537284471,7775,5857
119,537284751,3886,2928
120,537284752,3886,2928
121,537284753,3886,2928
122,537284754,3886,2928
123,537284755,3886,2928
124,537284756,3886,2928
125,537284921,0,0
126,537284943,3887,2928
127,537284945,3887,2928
128,537284946,3887,2928
129,537284947,3887,2928
130,537285509,3886,2928
131,537285510,3886,2928
132,537285512,7773,5857
133,537285516,3886,2928
134,537285517,3886,2928
135,537285522,3886,2928
136,537285523,3886,2928
137,537285526,3886,2928
138,537285529,3886,2928
139,537285795,3886,2928
140,537285796,3886,2928
141,537320961,3885,2928
142,543108637,3885,2928
143,543108638,3885,2928
144,543108640,7771,5857
145,543108645,3885,2928
146,593888892,3886,2928
147,593892401,7776,5857
148,593892974,3886,2928
149,722734218,1943,1464
150,746627800,7775,5857
151,746952784,7776,5857
152,746952785,7776,5857
153,746980501,3886,2928
154,746981795,7774,5857
155,747078121,3886,2928
156,747078122,3886,2928
157,747091957,3886,2928
158,747091958,3886,2928
159,747091966,3886,2928
160,753438782,7775,5857
161,753438860,7775,5857
162,758467057,3886,2928
163,758467058,3886,2928
164,758467062,3886,2928
165,771584138,7776,5857
166,771584139,7776,5857
167,778211403,1943,1464
168,778782011,3886,2928
169,778782027,3886,2928
170,779455126,3886,2928
171,798651764,7775,5857
172,806649892,3886,2928
173,811112096,3887,2928
174,811112097,3887,2928
175,811112254,7774,5857
176,811112255,7774,5857
177,811112257,3887,2928
178,811175577,3886,2928
179,811175579,3886,2928
180,811175580,3886,2928
181,811233386,1943,1464
182,811310173,3886,2928
183,811310174,3886,2928
184,811310175,3886,2928
185,811310176,3886,2928
186,811398039,7776,5857
187,811401004,1944,1464
188,811485758,1944,1464
189,811485759,1944,1464
190,811485760,1944,1464
191,811485763,1944,1464
192,811485764,1944,1464
193,811485765,1944,1464
194,811485767,1944,1464
195,811485768,1944,1464
